Year,Thornyskate_2J3K,Yellowtailflounder_Spring_3LNO,YellowtailFlounder_Fall_3LNO,Thornyskate_fall_3LNO,Thornyskate_spring_3LNO,Thornyskate_3Ps,Thornyskate_4RST
1960,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA
1978,16.24605678,NA,NA,NA,NA,NA,NA
1979,20.50473186,NA,NA,NA,NA,NA,NA
1980,16.64037855,NA,NA,NA,NA,NA,NA
1981,11.75078864,NA,NA,NA,NA,NA,NA
1982,12.30283912,NA,NA,NA,NA,NA,NA
1983,15.3785489,NA,NA,NA,NA,NA,NA
1984,16.64037855,544200,NA,NA,NA,NA,NA
1985,11.67192429,374100,NA,35.6466877,64.98442368,NA,NA
1986,11.43533123,326500,NA,30.9148265,46.8847352,NA,NA
1987,10.17350158,394200,NA,33.4384858,44.48598131,NA,NA
1988,13.170347,203100,NA,36.27760252,43.61370717,NA,NA
1989,18.05993691,532900,NA,31.54574132,36.41744548,NA,NA
1990,13.80126183,367400,192500,88.32807571,63.02180685,NA,45.52068161
1991,11.19873817,320300,297100,57.41324921,41.43302181,NA,53.69343009
1992,7.649842271,217400,215900,63.09148265,36.85358255,NA,41.42367332
1993,11.43533123,246300,371900,55.52050473,25.29595016,NA,32.46970908
1994,7.649842271,148400,287900,51.73501577,21.37071651,NA,50.91871721
1995,21.35488105,187400,592200,90.1863354,17.88161994,NA,48.59440456
1996,16.51747334,639400,447100,81.24223602,43.81538462,25.34923339,35.10946624
1997,14.43202078,695500,827100,102.484472,43.56923077,13.9693356,29.58053518
1998,19.39021056,733300,633600,60.74534161,49.72307692,22.01022147,35.43274126
1999,13.89280831,1289900,940300,65.96273292,59.81538462,18.19420784,26.25758884
2000,15.43866557,922500,1152300,75.27950311,58.58461538,18.12606474,52.88311571
2001,16.43439978,1328500,1651900,75.27950311,54.89230769,14.37819421,26.02818345
2002,18.97197156,690900,1174800,62.98136646,47.50769231,16.83134583,21.49382581
2003,13.80494941,1250100,1262600,58.88198758,50.95384615,23.50936968,62.92619971
2004,14.79991797,966700,1431000,60,35.2,23.03236797,49.77304366
2005,17.88722997,1164800,1376300,61.11801242,53.41538462,25.00851789,49.65829262
2006,18.88372983,1582400,1048500,59.62732919,NA,NA,37.83081553
2007,18.11903199,1440700,1757200,81.24223602,57.84615385,26.9165247,38.26903494
2008,18.12420016,1480400,1169200,104.7204969,47.75384615,30.59625213,43.67915469
2009,20.88113208,916400,900000,89.06832298,39.63076923,18.33049404,32.7357536
2010,16.59442166,1333300,1656300,77.14285714,64,25.48551959,47.75943852
2011,22.32305168,1426100,1038700,79.7515528,51.2,22.21465077,38.25269718
2012,23.09923435,1692100,1262900,102.1118012,53.41538462,20.51107325,41.01087895
2013,26.51577796,1362600,1185400,76.77018634,66.46153846,34.27597956,45.86870497
2014,29.9340443,1079300,57900,NA,58.58461538,19.96592845,42.88121447
2015,23.22537599,657600,1061400,NA,39.38461538,19.76149915,31.27482889
2016,NA,474500,1092500,NA,NA,NA,39.77906962
2017,NA,740500,1229100,NA,NA,NA,NA
2018,NA,NA,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,NA
2020,NA,NA,NA,NA,NA,NA,NA
2021,NA,NA,NA,NA,NA,NA,NA
