Year,Thornyskate_2J3K,Yellowtailflounder_Spring_3LNO,YellowtailFlounder_Fall_3LNO,Thornyskate_fall_3LNO,Thornyskate_spring_3LNO,Thornyskate_3Ps,Thornyskate_4RST
1960,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA
1984,NA,217700,NA,NA,NA,NA,NA
1985,NA,146800,NA,NA,NA,NA,NA
1986,NA,138200,NA,NA,NA,NA,NA
1987,NA,124600,NA,NA,NA,NA,NA
1988,NA,81000,NA,NA,NA,NA,NA
1989,NA,103800,NA,NA,NA,NA,NA
1990,NA,103100,65800,NA,NA,NA,14945.55354
1991,NA,93400,82400,NA,NA,NA,35362.97641
1992,NA,61400,64500,NA,NA,NA,16497.27768
1993,NA,93300,112800,NA,NA,NA,9963.702359
1994,NA,55600,106400,NA,NA,NA,14455.53539
1995,6532.258065,70600,129800,97254.44697,NA,NA,12985.48094
1996,7782.258065,175600,114900,73083.81908,515479.5256,21372.26995,12577.13249
1997,7903.225806,174900,245300,118478.0147,420762.4478,19582.11336,13883.84755
1998,8830.645161,202200,186700,81425.2502,612191.2318,27579.80961,12822.14156
1999,10120.96774,365700,250900,89460.40217,876930.7053,30928.46611,17967.33212
2000,11250,287000,335000,119395.9754,827139.0438,22041.91079,22459.16515
2001,10806.45161,366000,475800,112938.9794,985466.7163,23759.17053,12250.45372
2002,9193.548387,199500,339700,104227.2662,602234.2878,21316.33462,9555.353902
2003,8024.193548,386900,368300,91972.30044,765284.7403,36247.29746,31687.84029
2004,7379.032258,307900,374700,83582.94013,677659.9314,37230.38721,24092.55898
2005,9637.096774,388800,342700,118027.0712,996793.5209,32014.38035,24092.55898
2006,10806.45161,503800,305500,123163.9689,NA,NA,22459.16515
2007,15403.22581,443000,482200,156320.1494,1282696.418,35856.6548,20662.43194
2008,13709.67742,456900,322000,187544.2578,977504.4006,37736.74514,25154.26497
2009,12258.06452,271200,237800,126980.1839,894611.6276,27137.60392,22377.49546
2010,11451.6129,394700,417200,102487.7876,1180630.222,39050.47145,23847.54991
2011,14717.74194,422900,310400,137576.0401,882532.7879,43377.69462,22540.83485
2012,14112.90323,489400,357400,170732.805,1069236.478,32696.76118,22459.16515
2013,22862.90323,397300,346100,156545.7673,1319786.786,33761.49237,23439.20145
2014,23387.09677,332100,19800,NA,1239256.56,42248.66042,23357.53176
2015,16451.6129,220200,307400,135257.9043,997920.4165,34096.35048,22704.17423
2016,NA,133400,286700,NA,NA,NA,26624.31942
2017,NA,214100,322200,NA,NA,NA,NA
2018,NA,NA,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,NA
2020,NA,NA,NA,NA,NA,NA,NA
2021,NA,NA,NA,NA,NA,NA,NA
