Year,Herring_spring_2J3KLPs,Yellowtailflounder_malespring_3LNO,Yellowtailflounder_femalespring_3LNO,Herring_spring_4R,Herring_fall_4R,Americanplaice_male_3LNO,Americanplaice_female_3LNO,Americanplaice_male_3Ps,Americanplaice_female_3Ps,Americanplaice_male_2J3K,Americanplaice_female_2J3K,Roughheadgrenadier_female_3LMN,AtlanticMakerel_SA3&4,Witchflounder_males_2J3KL,Witchflounder_females_2J3KL
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,41.00539,NA,NA,NA,37.68836,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA,40.2076,NA,NA,NA,38.5274,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,39.42929,NA,NA,NA,38.46747,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,39.5067,NA,NA,NA,39.96575,NA,NA,NA,NA
1966,26.59414,NA,NA,NA,NA,23.82075,40.10918,NA,NA,NA,38.76712,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,22.67119,38.94189,NA,NA,21.62671,39.12671,NA,NA,NA,NA
1968,26.67434,NA,NA,NA,NA,22.18965,39.07762,NA,NA,22.76541,38.70719,NA,NA,NA,NA
1969,27.37994,NA,NA,NA,NA,22.3387,38.66879,NA,NA,21.80651,38.58733,NA,NA,NA,NA
1970,27.2651,NA,NA,NA,NA,23.15581,38.92129,NA,NA,22.28596,37.44863,NA,NA,NA,NA
1971,26.98026,NA,NA,NA,NA,22.15468,39.0181,NA,NA,24.98288,37.74829,NA,NA,NA,NA
1972,28.27437,NA,NA,NA,NA,22.74916,38.47317,NA,NA,24.38356,36.66952,NA,NA,NA,NA
1973,28.46941,NA,NA,NA,NA,23.492,39.42576,NA,NA,24.0839,36.90925,NA,NA,NA,NA
1974,29.05117,NA,NA,NA,NA,24.01222,38.0834,NA,NA,23.66438,35.89041,NA,29.0588235,NA,NA
1975,28.11646,NA,NA,NA,NA,23.97584,37.5384,NA,NA,22.70548,36.07021,NA,26,NA,NA
1976,27.80038,NA,NA,NA,NA,23.64262,36.56559,NA,NA,20.8476,35.35103,NA,26.7647059,NA,NA
1977,29.17189,NA,NA,NA,NA,23.3465,36.05951,NA,NA,20.36815,33.73288,NA,26.8823529,NA,NA
1978,26.61123,NA,NA,NA,NA,21.49194,35.96188,NA,NA,22.76541,33.25342,NA,26.1176471,NA,NA
1979,28.60166,NA,NA,NA,NA,21.52982,35.45583,NA,NA,21.80651,32.77397,NA,28.7647059,NA,NA
1980,29.2459,NA,NA,NA,NA,21.23371,35.37767,NA,NA,21.92637,33.19349,NA,27.0588235,NA,NA
1981,28.06323,NA,NA,NA,NA,23.27531,34.30757,NA,NA,21.14726,33.25342,NA,NA,NA,NA
1982,27.60783,NA,NA,NA,27.49305,22.19992,36.15484,NA,NA,22.1661,33.25342,NA,27.7058824,NA,NA
1983,28.56082,NA,NA,27.41134,28.33018,21.19884,36.97128,NA,NA,21.62671,32.59418,NA,30.6470588,NA,NA
1984,28.58558,30.4516129,34.3870968,26.7799,29.05405,21.19952,36.34853,NA,NA,18.86986,31.03596,NA,27.9411765,NA,NA
1985,27.46455,34.1290323,34.9032258,27.67703,28.96282,21.4972,37.00939,NA,NA,19.46918,30.19692,NA,23.2352941,NA,NA
1986,27.28836,28.516129,35.0322581,26.83542,29.14332,21.60925,36.659,NA,NA,19.40925,30.49658,NA,NA,NA,NA
1987,27.14228,27.5483871,33.2903226,26.64341,28.68985,20.23701,35.74447,NA,NA,18.45034,29.53767,NA,27.3529412,NA,NA
1988,27.41443,28.4516129,34.0645161,25.53432,28.53074,20.72017,34.65494,23.11355,38.57143,16.59247,29.83733,NA,NA,NA,NA
1989,26.91288,25.4193548,34.6451613,NA,30.16025,20.01594,33.17641,25.67766,37.98535,15.21404,28.57877,NA,24.4117647,NA,NA
1990,25.54445,26.7741935,33.3548387,NA,30.70302,17.45631,33.02046,22.52747,37.54579,NA,28.57877,NA,NA,NA,NA
1991,24.9655,27.1612903,34.2580645,NA,29.75146,13.07856,32.98118,18.71795,38.05861,13.95548,28.57877,NA,28.4705882,NA,NA
1992,25.0367,24.1290323,34.1290323,25.12947,28.61869,14.60067,32.88348,22.01465,36.59341,NA,28.6387,NA,26.4117647,NA,NA
1993,NA,26.4516129,32.9677419,NA,26.55764,18.86862,34.2835,20.03663,35.27473,17.13185,28.69863,NA,NA,NA,NA
1994,25.48814,26.2580645,32.9677419,24.24869,25.85512,18.5354,34.16634,18.20513,37.03297,15.75342,28.57877,NA,NA,NA,NA
1995,25.32714,25.2903226,34.9032258,NA,26.08087,20.16874,33.21301,17.98535,36.22711,15.21404,29.95719,NA,27.1176471,NA,NA
1996,23.92832,26.0645161,33.7419355,NA,27.23493,21.43112,33.91274,18.13187,38.27839,17.43151,30.97603,NA,28.1176471,25.1376147,38.9908257
1997,24.30827,26.3225806,33.3548387,NA,27.14371,21.39474,35.54607,17.98535,35.56777,17.13185,31.81507,NA,26.7647059,27.3394495,40.6422018
1998,24.96771,25.0322581,33.2258065,NA,25.78462,19.76287,34.98172,17.83883,37.03297,15.75342,30.79623,NA,24.2352941,27.7981651,39.5412844
1999,24.37299,22.9677419,34,NA,26.82553,19.02153,34.10608,18.13187,34.32234,15.69349,31.33562,NA,27.1176471,28.6238532,38.8073394
2000,24.69131,24.6451613,32.7741935,24.6637,26.64368,18.87374,33.48333,19.45055,35.86081,15.69349,32.05479,NA,23.4705882,28.5321101,38.1651376
2001,25.02595,26.3225806,32.9032258,NA,27.93357,20.65555,33.71636,19.37729,35.12821,16.59247,31.69521,NA,21.8235294,25.412844,39.266055
2002,25.02003,24.9677419,33.5483871,NA,27.68392,21.3984,34.82454,18.71795,37.17949,17.37158,32.8339,NA,24.3529412,28.5321101,38.1651376
2003,25.64738,24.516129,31.8064516,NA,27.97763,19.28419,34.4157,18.64469,35.93407,17.7911,30.49658,NA,24.4117647,28.440367,38.6238532
2004,NA,23.483871,32.0645161,NA,26.75427,18.17179,34.25978,17.69231,35.86081,17.97089,NA,NA,25.4117647,26.5137615,37.5229358
2005,NA,24.516129,30.3870968,NA,27.00272,19.39692,34.64835,18.86447,35.71429,17.67123,NA,27.9,25.5294118,26.9724771,37.8899083
2006,NA,25.5483871,32.5806452,NA,27.45494,19.47186,35.15359,17.98535,36.08059,NA,NA,28.49,25.7058824,25.5045872,40.2752294
